FID,lon,lat
"124910","-118.251550806621040","34.088461176572622"
"125766","-118.255372400980207","34.085657271140292"
"125782","-118.253124857352958","34.088477595354014"
"126597","-118.250377634562525","34.085632456823319"
"127893","-118.257145026453898","34.083712904082098"
"128791","-118.255711647670836","34.084409322434922"
"130471","-118.255013677494446","34.076771002125021"
"133066","-118.251321444729527","34.082154528229538"
"134068","-118.252843826527226","34.083085902500628"
"139390","-118.250946846420604","34.083213448044930"
"139620","-118.256620694155103","34.075071819412422"
"141078","-118.254258739850286","34.086869841277078"
"146254","-118.255964415568855","34.085672863450107"
"149383","-118.251897704755351","34.085519582348432"
"150807","-118.253995977239754","34.076987003215635"
"151210","-118.246946245277798","34.087117425736558"
"151856","-118.252091815930044","34.079268135988968"
"153571","-118.252307138408554","34.078876364075448"
"153608","-118.250088456884967","34.085868063773553"
"155409","-118.249823499443210","34.082884000650679"
"155965","-118.247942235007514","34.088957803800611"
"156084","-118.250859702466357","34.087900082288961"
"158235","-118.255801312965517","34.076827884108823"
"159521","-118.251309589054060","34.076927818127274"
"159548","-118.253662527463277","34.087011196589899"
"159851","-118.252073382153554","34.082433639671535"
"163510","-118.249930319692325","34.074663909210265"
"166132","-118.249060690067680","34.084964093064002"
"166369","-118.254689478702076","34.086091700003571"
"173604","-118.251502221998763","34.076319846561027"
"174052","-118.246846493732235","34.087854306256475"
"175674","-118.249912533116955","34.073895756048493"
"178691","-118.257010763979494","34.088708435140042"
"181157","-118.254934341622871","34.082853545969684"
"182031","-118.249851029018799","34.087412555506440"
"182249","-118.252525545670778","34.079577541426744"
"186641","-118.254835230842517","34.077898270479658"
"186917","-118.255763458750522","34.081752094210472"
"188903","-118.248642919647878","34.086185768641251"
"191788","-118.254845407958683","34.085641011855884"
"193664","-118.247040767632882","34.087354541273690"
"193697","-118.252051632777722","34.075654131643475"
"195227","-118.257203417191818","34.076223768997586"
"195742","-118.251822967655414","34.076906356382302"
"195760","-118.252498035205022","34.086541513889323"
"196887","-118.256391776403902","34.084667497693445"
"197519","-118.252869625530224","34.081305488009662"
"200932","-118.254592570562835","34.082608140013562"
"204046","-118.253264266812764","34.082491837860537"
"205284","-118.253235688916604","34.077903774416853"
"205469","-118.254699383431259","34.080150548847719"
"207150","-118.251984284606962","34.077705511044897"
"207235","-118.253897970488978","34.077837498675542"
"208918","-118.253060157345175","34.082320774345753"
"211074","-118.256109138836337","34.080060393077375"
"212642","-118.251390186160720","34.080638805105650"
"212785","-118.249708340707357","34.084340676152323"
"214872","-118.252708021221622","34.088876834181441"
"222483","-118.255735748212061","34.074588483925730"
"222567","-118.252194699469342","34.078747650902045"
"223733","-118.253443432527902","34.084059140131338"
"225483","-118.252559860774284","34.082791204209322"
"225980","-118.251848229789658","34.081716298210438"
