FID,lon,lat
3593302,-118.302139632983625,34.058262752310092
3639961,-118.303549830442023,34.058653611067143
3671013,-118.301320160962902,34.061642344759726
3692170,-118.302522593661607,34.057798778272399
3695765,-118.300867060035557,34.059645155154328
3838069,-118.303315967582975,34.061637427350313
3864316,-118.302132949785360,34.059950984907893
3901829,-118.300070718963255,34.061563585531708
3981477,-118.301332616138154,34.057778919447671
3984696,-118.301975598745841,34.058589136704626
3990488,-118.302578765880199,34.059345664600919
4009242,-118.300896553423456,34.059022603750343
4009707,-118.302322827452556,34.058764013307481
4203664,-118.301007820956542,34.061624008623582
4204439,-118.304165727531839,34.059815803922717
4232226,-118.301109793987195,34.059788676513612
4258002,-118.301928480248279,34.058908871611884
4299839,-118.303197095268260,34.059393217193488
4350920,-118.303201444074219,34.060101982416199
4456626,-118.299924114869597,34.059200627366138
4471744,-118.302513600195894,34.059335533717096
4477537,-118.304096241250477,34.058674868122750
4584700,-118.300100827670434,34.058852468399067
4585367,-118.301461424751366,34.059400788272498
4586795,-118.300357852213239,34.058654961203345
4615294,-118.301753547176503,34.059798091752661
4617383,-118.299914806287461,34.059016759415400
4705297,-118.304121423314925,34.059469984598294
4725852,-118.301202700860841,34.057785705762747
4780693,-118.300966969411036,34.061077952911560
4832522,-118.300747895918406,34.061632170796940
4841059,-118.300680483202783,34.058922085942271
4915687,-118.303191462433546,34.058175852688080
4956600,-118.301931753672022,34.058697816694995
4994542,-118.301415709908582,34.059812491283495
5018308,-118.304103497830326,34.059572979499720
5248993,-118.302521225310755,34.058134260861891
5251732,-118.301148330315044,34.060183255101059
5257367,-118.302137335488140,34.060237709468971
5344058,-118.304104953629903,34.060092398237238
5394746,-118.302633447804340,34.061644663716947
5433137,-118.301092806179156,34.060378630835288
5440291,-118.302358713907523,34.059834966399201
5441537,-118.300845275838341,34.059921335284855
5454604,-118.304134696907326,34.058214544277490
5494558,-118.301396970185209,34.059011894981182
5527705,-118.299902787971604,34.061635701992422
5530911,-118.302790368748234,34.059154044567173
5606459,-118.300035249557638,34.058815286669613
5668249,-118.301011785920196,34.058480306329294
5685181,-118.300936080349558,34.059482101290058
5700584,-118.302975266702617,34.059341461501951
5737450,-118.303680078142236,34.058668461826201
5763261,-118.301924131302158,34.059049597838609
5767766,-118.303214109056043,34.058381221990231
5784323,-118.304141053360524,34.059902638122331
5791493,-118.301347236066363,34.059585963811763
5810338,-118.303069123434753,34.059102392327333
5853055,-118.301186522048397,34.059279251286881
5875516,-118.301487823288937,34.060277054244132
5915565,-118.299920346188046,34.058102279471520
5959996,-118.303223802756847,34.060713162670197
5980302,-118.303192128256683,34.059918114907177
6023124,-118.300314556433065,34.059651002150581
6082321,-118.304097898640791,34.058783066009852
6119307,-118.301932120490605,34.059146907157320
6138114,-118.301241118081364,34.059873858519801
6150686,-118.300910680010560,34.058670753767018
6155876,-118.302409434447924,34.059325816107282
6186490,-118.301168211765557,34.059782647257009
6196959,-118.304085748989166,34.060536285358850
6223380,-118.300834259698462,34.060051310495034
6244347,-118.300905026850401,34.061278807266177
6363841,-118.301042580879255,34.058793805352146
6401055,-118.302249936583806,34.061648728203330
6474818,-118.302379692087598,34.061631120858884
